;"GERÊNCIA DE SUPRIMENTOS
LISTA DE ITENS VIGENTES EM ATAS E CONTRATOS - ATT 12/08/2026";;;;;;;;;;;
;COD. PRODUTO FLUIG;CONTRATO;ENTIDADE;STATUSCONTRATO;FORNECEDOR;DATA INICIO;DATA FIM;IDPRD RM;NOME FANTASIA;DESC. PRODUTO;R$ TOTAL CONTRATO;CNPJ
;572870;2026.0246;SENAI-DR/ES;VIGENTE;ELETROVAN MATERIAL ELETRICO LTDA.;31/07/2026;31/07/2027;26212;KIT HIGIENICO PARA PROTETOR AUDITIVO TIPO CONCHA;"KIT HIGIENICO PARA PROTETOR AUDITIVO  TIPO  CONCHA  PARA  SER UTILIZADO EM CONJUNTO COM CAPACETE 
COMPOSTO POR DOIS SELOS E DUAS ESPUMAS INTERNAS;
DEVERA SER COMPATIVEL COM O PROTETOR AUDITIVO TIPO CONCHA PARA";1.320.408,70;02.577.095/0001-36
;567146;2026.0246;SENAI-DR/ES;VIGENTE;ELETROVAN MATERIAL ELETRICO LTDA.;31/07/2026;31/07/2027;20199;PROTETOR AUDITIVO, COMPLEMENTO: TIPO CONCHA SER UTILIZADO CONJUNTO CAPACETE;PROTETOR AUDITIVO, COMPLEMENTO: TIPO CONCHA SER UTILIZADO CONJUNTO CAPACETE;1.320.408,70;02.577.095/0001-36
;567145;2026.0246;SENAI-DR/ES;VIGENTE;ELETROVAN MATERIAL ELETRICO LTDA.;31/07/2026;31/07/2027;20198;PROTETOR FACIAL, COMPLEMENTO: ATIVIDADE ALTA TENSAO CONFECCIONADO POLICARBONATO VERDE;PROTETOR FACIAL, COMPLEMENTO: ATIVIDADE ALTA TENSAO CONFECCIONADO POLICARBONATO VERDE;1.320.408,70;02.577.095/0001-36
;567144;2026.0246;SENAI-DR/ES;VIGENTE;ELETROVAN MATERIAL ELETRICO LTDA.;31/07/2026;31/07/2027;20197;PROTETOR FACIAL, COMPLEMENTO: (TIPO FACE SHIELD) PROFISSIONAL SAUDE;PROTETOR FACIAL, COMPLEMENTO: (TIPO FACE SHIELD) PROFISSIONAL SAUDE;1.320.408,70;02.577.095/0001-36
;572828;2026.0246;SENAI-DR/ES;VIGENTE;ELETROVAN MATERIAL ELETRICO LTDA.;31/07/2026;31/07/2027;26170;PROTETOR AURICULAR, COMPLEMENTO: (PADRAO SAMARCO);PROTETOR AURICULAR, COMPLEMENTO: (PADRAO SAMARCO);1.320.408,70;02.577.095/0001-36
;574456;2026.0246;SENAI-DR/ES;VIGENTE;ELETROVAN MATERIAL ELETRICO LTDA.;31/07/2026;31/07/2027;27742;PROTETOR FACIAL, MODELO: PLASTICO POLICARBONATO, COR: INCOLOR, MEDIDA:  250MM,  AJUSTE: CATRACA;PROTETOR FACIAL, MODELO: PLASTICO POLICARBONATO, COR: INCOLOR, MEDIDA:  250MM,  AJUSTE: CATRACA;1.320.408,70;02.577.095/0001-36
;556709;2026.0246;SENAI-DR/ES;VIGENTE;ELETROVAN MATERIAL ELETRICO LTDA.;31/07/2026;31/07/2027;9970;PROTETOR SOLAR, COMPLEMENTO: UVA UVB FPS 60;PROTETOR SOLAR, COMPLEMENTO: UVA UVB FPS 60;1.320.408,70;02.577.095/0001-36
;556242;2026.0246;SENAI-DR/ES;VIGENTE;ELETROVAN MATERIAL ELETRICO LTDA.;31/07/2026;31/07/2027;9557;PERNEIRA SEGURANCA, COMPLEMENTO: RASPA COURO BRANCO FECHAMENTO VELCRO ÚNICO;"PERNEIRA SEGURANCA, COMPLEMENTO: RASPA COURO BRANCO FECHAMENTO VELCRO ÚNICO
";1.320.408,70;02.577.095/0001-36
;563518;2026.0246;SENAI-DR/ES;VIGENTE;ELETROVAN MATERIAL ELETRICO LTDA.;31/07/2026;31/07/2027;16396;PERNEIRA SEGURANCA, COMPLEMENTO: CONFECCIONADA MATERIAL SINTETICO;PERNEIRA SEGURANCA, COMPLEMENTO: CONFECCIONADA MATERIAL SINTETICO;1.320.408,70;02.577.095/0001-36
;563517;2026.0246;SENAI-DR/ES;VIGENTE;ELETROVAN MATERIAL ELETRICO LTDA.;31/07/2026;31/07/2027;16395;OCULOS SEGURANCA, COMPLEMENTO: MODELO AMPLA VISAO;OCULOS SEGURANCA, COMPLEMENTO: MODELO AMPLA VISAO;1.320.408,70;02.577.095/0001-36
