;"GERÊNCIA DE SUPRIMENTOS
LISTA DE ITENS VIGENTES EM ATAS E CONTRATOS - ATT 12/08/2026";;;;;;;;;;;
;COD. PRODUTO FLUIG;CONTRATO;ENTIDADE;STATUSCONTRATO;FORNECEDOR;DATA INICIO;DATA FIM;IDPRD RM;NOME FANTASIA;DESC. PRODUTO;R$ TOTAL CONTRATO;CNPJ
;561012;2025.0329;SESI-DR/ES;VENCENDO;ASTERIXCO TELECOM;13/10/2025;13/10/2026;14340;INSTALACAO DE SISTEMA CFTV IP E CONTROLE DE ACESSO, COMPLEMENTO: SERVICO;INSTALACAO DE SISTEMA CFTV IP E CONTROLE DE ACESSO, COMPLEMENTO: SERVICO;226.845,02;22.416.591/0001-15
;007363;2025.0262;SENAI-DR/ES;VIGENTE;CONVICTA AUDITORES INDEPENDENTES S/S;11/10/2025;11/04/2027;7475;AUDITORIA, COMPLEMENTO: SERVICOS PJ;AUDITORIA, COMPLEMENTO: SERVICOS PJ;48.218,23;03.061.922/0001-05
;558337;2025.0301;SESI-DR/ES;VIGENTE;ALIANÇA DIAGNOSTICOS LABORATORIAIS,MEDICOS,OCUPACIO;10/10/2025;10/10/2030;11633;Credenciamento - Ultrassonografia;Credenciamento - Ultrassonografia;330.000,00;27.295.211/0001-55
;556143;2025.0301;SESI-DR/ES;VIGENTE;ALIANÇA DIAGNOSTICOS LABORATORIAIS,MEDICOS,OCUPACIO;10/10/2025;10/10/2030;9456;CREDENCIAMENTO - EXAMES LABORATORIAIS;CREDENCIAMENTO - EXAMES LABORATORIAIS;330.000,00;27.295.211/0001-55
;558347;2025.0301;SESI-DR/ES;VIGENTE;ALIANÇA DIAGNOSTICOS LABORATORIAIS,MEDICOS,OCUPACIO;10/10/2025;10/10/2030;11643;Credenciamento - Nutrição - Consulta médica;Credenciamento - Nutrição - Consulta médica;330.000,00;27.295.211/0001-55
;558873;2025.0301;SESI-DR/ES;VIGENTE;ALIANÇA DIAGNOSTICOS LABORATORIAIS,MEDICOS,OCUPACIO;10/10/2025;10/10/2030;12169;Credenciamento - Psicologia;Credenciamento - Psicologia;330.000,00;27.295.211/0001-55
;557748;2025.0301;SESI-DR/ES;VIGENTE;ALIANÇA DIAGNOSTICOS LABORATORIAIS,MEDICOS,OCUPACIO;10/10/2025;10/10/2030;11044;Clínico Geral - Cons. médica na espec. de clínica geral, com emissão de laudo;Clínico Geral - Cons. médica na espec. de clínica geral, com emissão de laudo;330.000,00;27.295.211/0001-55
;001074;2025.0301;SESI-DR/ES;VIGENTE;ALIANÇA DIAGNOSTICOS LABORATORIAIS,MEDICOS,OCUPACIO;10/10/2025;10/10/2030;1158;CONSULTA MÉDICA - GINECOLOGIA;CONSULTA MÉDICA - GINECOLOGIA;330.000,00;27.295.211/0001-55
;558321;2025.0301;SESI-DR/ES;VIGENTE;ALIANÇA DIAGNOSTICOS LABORATORIAIS,MEDICOS,OCUPACIO;10/10/2025;10/10/2030;11617;Credenciamento - Dermatologia - Consulta médica com laudo;Credenciamento - Dermatologia - Consulta médica com laudo;330.000,00;27.295.211/0001-55
;557736;2025.0301;SESI-DR/ES;VIGENTE;ALIANÇA DIAGNOSTICOS LABORATORIAIS,MEDICOS,OCUPACIO;10/10/2025;10/10/2030;11032;Endocrinologia - Consulta médica com laudo;Endocrinologia - Consulta médica com laudo;330.000,00;27.295.211/0001-55
;558869;2025.0301;SESI-DR/ES;VIGENTE;ALIANÇA DIAGNOSTICOS LABORATORIAIS,MEDICOS,OCUPACIO;10/10/2025;10/10/2030;12165;Credenciamento - Otorrinolaringologia;Credenciamento - Otorrinolaringologia;330.000,00;27.295.211/0001-55
;558866;2025.0301;SESI-DR/ES;VIGENTE;ALIANÇA DIAGNOSTICOS LABORATORIAIS,MEDICOS,OCUPACIO;10/10/2025;10/10/2030;12162;Credenciamento - Ortopedia;Credenciamento - Ortopedia;330.000,00;27.295.211/0001-55
;558865;2025.0301;SESI-DR/ES;VIGENTE;ALIANÇA DIAGNOSTICOS LABORATORIAIS,MEDICOS,OCUPACIO;10/10/2025;10/10/2030;12161;Credenciamento - Cardiologia;Credenciamento - Cardiologia;330.000,00;27.295.211/0001-55
;006850;2025.0305;SESI-DR/ES;VIGENTE;SENAI DEPARTAMENTO REGIONAL DO ESTADO DO PARANA;08/10/2025;08/10/2027;6933;ASSESSORIA E CONSULTORIA EM INOVAÇÃO;ASSESSORIA E CONSULTORIA EM INOVAÇÃO;132.012,55;03.776.284/0001-09
;572674;2025.0328;SENAI-DR/ES;VENCENDO;RG EMPREENDIMENTOS;07/10/2025;07/08/2026;26016;CREDENCIAMENTO: OBRA ENGENHARIA;CREDENCIAMENTO: OBRA ENGENHARIA;2.050.140,00;18.472.754/0001-00
;564581;2025.0322;SENAI-DR/ES;VENCENDO;PH UNIFORMES PROFISSIONAIS;07/10/2025;07/10/2026;17467;CAMISA MANGA, TIPO: CAMISA, MODELO: MANGA CURTA, COMPLEMENTO: MALHA PV;CAMISA MANGA, TIPO: CAMISA, MODELO: MANGA CURTA, COMPLEMENTO: MALHA PV;877.500,00;58.535.387/0001-60
;577538;2025.0322;SENAI-DR/ES;VENCENDO;PH UNIFORMES PROFISSIONAIS;07/10/2025;07/10/2026;30888;CAMISA, GOLA: POLO, MANGA: CURTA, GENERO: UNISSEX, TECIDO: PIQUET, COMPOSICAO: 50% ALGODAO E 50% POLIESTER;CAMISA, GOLA: POLO, MANGA: CURTA, GENERO: UNISSEX, TECIDO: PIQUET, COMPOSICAO: 50% ALGODAO E 50% POLIESTER;877.500,00;58.535.387/0001-60
;558832;2025.0319;SESI-DR/ES;VIGENTE;CLINICA MEDICA PESSOTTI;02/10/2025;02/10/2030;12128;Credenciamento - Fisioterapeuta;Credenciamento - Fisioterapeuta;20.000,00;24.252.412/0001-87
;557753;2025.0315;SESI-DR/ES;VIGENTE;RADIMAGEM NOROESTE CAPIXABA;01/10/2025;01/10/2028;11049;RADIOLOGIA RAIO X COM LAUDO;RADIOLOGIA RAIO X COM LAUDO;1.580.360,12;05.860.063/0001-31
;565539;2025.0309;SESI-DR/ES;VENCENDO;FLEXI MOVEIS LTDA;01/10/2025;01/10/2026;18539;ESTANTE METALICA;ESTANTE METALICA;773.001,60;58.579.937/0001-43
;563026;2025.0309;SESI-DR/ES;VENCENDO;FLEXI MOVEIS LTDA;01/10/2025;01/10/2026;15904;ESTANTE DUPLA FACE MEDINDO LARGURA 100 CM | ALTURA: 200 CM | PROFUNDIDADE: 58 CM. ESTANTE E PRATELEIRAS;ESTANTE DUPLA FACE MEDINDO LARGURA 100 CM | ALTURA: 200 CM | PROFUNDIDADE: 58 CM. ESTANTE E PRATELEIRAS ESTANTE PARA LIVROS FACE DUPLA, CONFECCIONADA EM ACO COM BAIXO TEOR DE CARBONO, COMPOSTA POR: 08 PRATELEIR;773.001,60;58.579.937/0001-43
;576201;2025.0309;SESI-DR/ES;VENCENDO;FLEXI MOVEIS LTDA;01/10/2025;01/10/2026;29550;ARMARIO, TIPO: LOCKER, COMPARTIMENTO: 9, MATERIAL: ACO GALVANIZADO;ARMARIO, TIPO: LOCKER, COMPARTIMENTO: 9, MATERIAL: ACO GALVANIZADO;773.001,60;58.579.937/0001-43
;563332;2025.0309;SESI-DR/ES;VENCENDO;FLEXI MOVEIS LTDA;01/10/2025;01/10/2026;16210;ARMARIO GUARDA VOLUME DUPLO COM 12 PORTAS  L 600 X A 1850 X P 450;ARMARIO GUARDA VOLUME DUPLO COM 12 PORTAS MEDINDO L 600 X A 1850 X P 450;773.001,60;58.579.937/0001-43
;563012;2025.0310;SESI-DR/ES;VENCENDO;SMART OFFICE REPRESENTACOES E SERVICOS;01/10/2025;01/10/2026;15890;CADEIRA GIRATORIA OPERACIONAL ESPALDAR MEDIO SEM APOIA BRACO.;CADEIRA GIRATORIA OPERACIONAL ESPALDAR MEDIO SEM APOIA BRACO.;660.013,11;24.709.181/0001-98
;555915;2025.0310;SESI-DR/ES;VENCENDO;SMART OFFICE REPRESENTACOES E SERVICOS;01/10/2025;01/10/2026;9195;CADEIRA FIXA TIPO 04 PÉS;CADEIRA FIXA TIPO 04 PÉS;660.013,11;24.709.181/0001-98
;570232;2025.0310;SESI-DR/ES;VENCENDO;SMART OFFICE REPRESENTACOES E SERVICOS;01/10/2025;01/10/2026;23573;CADEIRA OPERACIONAL, MODELO: ENCOSTO EM TELA, COMPLEMENTO: ESTRUTURA COR GRAFITE;CADEIRA OPERACIONAL, MODELO: ENCOSTO EM TELA, COMPLEMENTO: ESTRUTURA COR GRAFITE;660.013,11;24.709.181/0001-98
;562676;2025.0310;SESI-DR/ES;VENCENDO;SMART OFFICE REPRESENTACOES E SERVICOS;01/10/2025;01/10/2026;15554;MESA REDONDA 1200MM (DIAM) X 730 MM (ESP);MESA REDONDA 1200MM (DIAM) X 730 MM (ESP);660.013,11;24.709.181/0001-98
;570211;2025.0310;SESI-DR/ES;VENCENDO;SMART OFFICE REPRESENTACOES E SERVICOS;01/10/2025;01/10/2026;23552;MESA REUNIAO, COMPLEMENTO: RETANGULAR;MESA REUNIAO, COMPLEMENTO: RETANGULAR;660.013,11;24.709.181/0001-98
;575570;2025.0310;SESI-DR/ES;VENCENDO;SMART OFFICE REPRESENTACOES E SERVICOS;01/10/2025;01/10/2026;28914;MESA, TIPO:DISCO LOUNGE PERFECTA, TAMPO: MDP, TAMANHO:25MM, COR:GRAFITE, ALTURA:102CM, EXTRA:ESTRUTURA CROMADA;MESA, TIPO:DISCO LOUNGE PERFECTA, TAMPO: MDP, TAMANHO:25MM, COR:GRAFITE, ALTURA:102CM, EXTRA:ESTRUTURA CROMADA;660.013,11;24.709.181/0001-98
;576202;2025.0310;SESI-DR/ES;VENCENDO;SMART OFFICE REPRESENTACOES E SERVICOS;01/10/2025;01/10/2026;29551;BALCAO, TIPO: ATENDIMENTO, FORMATO: RETANGULAR BAIXO, MATERIAL: MDP REVESTIDO, ESPESSURA: 25MM;"BALCAO, TIPO: ATENDIMENTO, FORMATO: RETANGULAR BAIXO, MATERIAL: MDP REVESTIDO, ESPESSURA: 25MM

";660.013,11;24.709.181/0001-98
;570700;2025.0310;SESI-DR/ES;VENCENDO;SMART OFFICE REPRESENTACOES E SERVICOS;01/10/2025;01/10/2026;24042;PLATAFORMA TRABALHO, COMPLEMENTO: P 04 USUARIOS COM PES FORMATO TRAVE ACO CALHA BERCO CAIXA TOMADA ALIMENTACAO;PLATAFORMA TRABALHO, COMPLEMENTO: P 04 USUARIOS COM PES FORMATO TRAVE ACO CALHA BERCO CAIXA TOMADA ALIMENTACAO;660.013,11;24.709.181/0001-98
;576224;2025.0310;SESI-DR/ES;VENCENDO;SMART OFFICE REPRESENTACOES E SERVICOS;01/10/2025;01/10/2026;29573;MESA, TIPO: RETANGULAR, MEDIDA: 1800X600X900MM, MATERIAL: MDP, ESPESSURA: 18MM;MESA, TIPO: RETANGULAR, MEDIDA: 1800X600X900MM, MATERIAL: MDP, ESPESSURA: 18MM;660.013,11;24.709.181/0001-98
;570211;2025.0310;SESI-DR/ES;VENCENDO;SMART OFFICE REPRESENTACOES E SERVICOS;01/10/2025;01/10/2026;23552;MESA REUNIAO, COMPLEMENTO: RETANGULAR;MESA REUNIAO, COMPLEMENTO: RETANGULAR;660.013,11;24.709.181/0001-98
;570213;2025.0310;SESI-DR/ES;VENCENDO;SMART OFFICE REPRESENTACOES E SERVICOS;01/10/2025;01/10/2026;23554;"MESA GERENTE, COMPLEMENTO: ""L"" ARMARIO COMPOSTO POR 01 GAVETEIRO 04 GAVETAS 01 PORTA CORRER";"MESA GERENTE, COMPLEMENTO: ""L"" ARMARIO COMPOSTO POR 01 GAVETEIRO 04 GAVETAS 01 PORTA CORRER";660.013,11;24.709.181/0001-98
;562995;2025.0310;SESI-DR/ES;VENCENDO;SMART OFFICE REPRESENTACOES E SERVICOS;01/10/2025;01/10/2026;15873;MESA RETA COM TAMPO  PE PAINEL  1000X500X730MM.;MESA RETA COM TAMPO  PE PAINEL  1000X500X730MM. TAMPO RETO PARA MESAS AUTOPORTANTES OU SISTEMAS DE ESTACOES DE TRABALHO, EM MADEIRA AGLOMERADA COM RESINA FENOLICA E PARTICULAS DE GRANULOMETRIA FINA, BARRAS DE U;660.013,11;24.709.181/0001-98
;570207;2025.0310;SESI-DR/ES;VENCENDO;SMART OFFICE REPRESENTACOES E SERVICOS;01/10/2025;01/10/2026;23548;PLATAFORMA DUPLA, COMPLEMENTO: FACE COMPOSTA 04 (QUATRO) POSICOES;PLATAFORMA DUPLA, COMPLEMENTO: FACE COMPOSTA 04 (QUATRO) POSICOES;660.013,11;24.709.181/0001-98
;570211;2025.0310;SESI-DR/ES;VENCENDO;SMART OFFICE REPRESENTACOES E SERVICOS;01/10/2025;01/10/2026;23552;MESA REUNIAO, COMPLEMENTO: RETANGULAR;MESA REUNIAO, COMPLEMENTO: RETANGULAR;660.013,11;24.709.181/0001-98
;576215;2025.0310;SESI-DR/ES;VENCENDO;SMART OFFICE REPRESENTACOES E SERVICOS;01/10/2025;01/10/2026;29564;BALCAO ATENDIMENTO, TIPO: ANGULAR, ESPESSURA: 25MM, MATERIAL: MDP;BALCAO ATENDIMENTO, TIPO: ANGULAR, ESPESSURA: 25MM, MATERIAL: MDP;660.013,11;24.709.181/0001-98
;570207;2025.0310;SESI-DR/ES;VENCENDO;SMART OFFICE REPRESENTACOES E SERVICOS;01/10/2025;01/10/2026;23548;PLATAFORMA DUPLA, COMPLEMENTO: FACE COMPOSTA 04 (QUATRO) POSICOES;PLATAFORMA DUPLA, COMPLEMENTO: FACE COMPOSTA 04 (QUATRO) POSICOES;660.013,11;24.709.181/0001-98
;576217;2025.0310;SESI-DR/ES;VENCENDO;SMART OFFICE REPRESENTACOES E SERVICOS;01/10/2025;01/10/2026;29566;MESA CIRCULAR DE CANTO, MATERIAL: MDP, ESPESSURA: 25MM;MESA CIRCULAR DE CANTO, MATERIAL: MDP, ESPESSURA: 25MM;660.013,11;24.709.181/0001-98
;576202;2025.0310;SESI-DR/ES;VENCENDO;SMART OFFICE REPRESENTACOES E SERVICOS;01/10/2025;01/10/2026;29551;BALCAO, TIPO: ATENDIMENTO, FORMATO: RETANGULAR BAIXO, MATERIAL: MDP REVESTIDO, ESPESSURA: 25MM;"BALCAO, TIPO: ATENDIMENTO, FORMATO: RETANGULAR BAIXO, MATERIAL: MDP REVESTIDO, ESPESSURA: 25MM

";660.013,11;24.709.181/0001-98
;570211;2025.0310;SESI-DR/ES;VENCENDO;SMART OFFICE REPRESENTACOES E SERVICOS;01/10/2025;01/10/2026;23552;MESA REUNIAO, COMPLEMENTO: RETANGULAR;MESA REUNIAO, COMPLEMENTO: RETANGULAR;660.013,11;24.709.181/0001-98
;577076;2025.0310;SESI-DR/ES;VENCENDO;SMART OFFICE REPRESENTACOES E SERVICOS;01/10/2025;01/10/2026;30426;MESA,TIPO:RETANGULAR,DIMENSOES:1000X1200MM,BASE:QUADRADA;MESA,TIPO:RETANGULAR,DIMENSOES:1000X1200MM,BASE:QUADRADA;660.013,11;24.709.181/0001-98
;570761;2025.0310;SESI-DR/ES;VENCENDO;SMART OFFICE REPRESENTACOES E SERVICOS;01/10/2025;01/10/2026;24103;CADEIRA FIXA, TIPO: FIXA, COMPLEMENTO: SOFA ESPERA CANTO ENCOSTO, 01 LUGAR COMPONIVEL ASSENTO ESPUMA EXPANDIDA LAMINADA;CADEIRA FIXA, TIPO: FIXA, COMPLEMENTO: SOFA ESPERA CANTO ENCOSTO, 01 LUGAR COMPONIVEL ASSENTO ESPUMA EXPANDIDA LAMINADA;660.013,11;24.709.181/0001-98
;577075;2025.0310;SESI-DR/ES;VENCENDO;SMART OFFICE REPRESENTACOES E SERVICOS;01/10/2025;01/10/2026;30425;SOFA,TIPO:INDIVIDUAL,LUGAR:1, COMPLEMENTO:COM BRACOS;SOFA,TIPO:INDIVIDUAL,LUGAR:1, COMPLEMENTO:COM BRACOS;660.013,11;24.709.181/0001-98
;570289;2025.0310;SESI-DR/ES;VENCENDO;SMART OFFICE REPRESENTACOES E SERVICOS;01/10/2025;01/10/2026;23630;LONGARINA, 03 LUGARES, BRACOS INTEGRADOS;ASSENTO CONFECCIONADO EM CONCHA UNICA INJETADA EM POLIPROPILENO COPOLIMERO DE ALTA RESISTENCIA, 03 LUGARES, COM APOIO DE BRACOS INTEGRADOS A ESTRUTURA DA CONCHA. ESTRUTURA EM TUBO EM ACO INDUSTRIAL QUADRADO 50X;660.013,11;24.709.181/0001-98
;563007;2025.0310;SESI-DR/ES;VENCENDO;SMART OFFICE REPRESENTACOES E SERVICOS;01/10/2025;01/10/2026;15885;CADEIRA GIRATORIA OPERACIONAL ESPALDAR MEDIO COM APOIA BRACO;CADEIRA GIRATORIA OPERACIONAL ESPALDAR MEDIO COM APOIA BRACO ENCOSTO - ESTRUTURA INJETADA EM POLIPROPILENO COPOLIMERO ESTRUTURADO COM NERVURAS, BORDA DE ANCORAGEM DA COLA E CANAL PARA GRAMPOS. POSSUI CURVATURA;660.013,11;24.709.181/0001-98
;565532;2025.0310;SESI-DR/ES;VENCENDO;SMART OFFICE REPRESENTACOES E SERVICOS;01/10/2025;01/10/2026;18532;CADEIRA FIXA DE PROLIPROPILENO;CADEIRA FIXA DE PROLIPROPILENO;660.013,11;24.709.181/0001-98
;572112;2025.0310;SESI-DR/ES;VENCENDO;SMART OFFICE REPRESENTACOES E SERVICOS;01/10/2025;01/10/2026;25459;CADEIRA FIXA COM BRACOS;CADEIRA FIXA COM BRACOS;660.013,11;24.709.181/0001-98
;576231;2025.0310;SESI-DR/ES;VENCENDO;SMART OFFICE REPRESENTACOES E SERVICOS;01/10/2025;01/10/2026;29580;ASSENTO ESTOFADO, DIMENSAO: 436X436X50MM, MATERIAL: MDP, ESPESSURA: 15MM;ASSENTO ESTOFADO, DIMENSAO: 436X436X50MM, MATERIAL: MDP, ESPESSURA: 15MM;660.013,11;24.709.181/0001-98
;576228;2025.0310;SESI-DR/ES;VENCENDO;SMART OFFICE REPRESENTACOES E SERVICOS;01/10/2025;01/10/2026;29577;MODULO 3 LUGARES, MEDIDA: 1308X436X435MM, MATERIAL: MDP;MODULO 3 LUGARES, MEDIDA: 1308X436X435MM, MATERIAL: MDP;660.013,11;24.709.181/0001-98
;576227;2025.0310;SESI-DR/ES;VENCENDO;SMART OFFICE REPRESENTACOES E SERVICOS;01/10/2025;01/10/2026;29576;MODULO 4 LUGARES, MEDIDA: 1744X436X435MM, MATERIAL: MDP;MODULO 4 LUGARES, MEDIDA: 1744X436X435MM, MATERIAL: MDP;660.013,11;24.709.181/0001-98
;571733;2025.0310;SESI-DR/ES;VENCENDO;SMART OFFICE REPRESENTACOES E SERVICOS;01/10/2025;01/10/2026;25080;PUFF TIPO, COMPLEMENTO: GOTA ENCHIMENTO;PUFF TIPO, COMPLEMENTO: GOTA ENCHIMENTO;660.013,11;24.709.181/0001-98
;570718;2025.0310;SESI-DR/ES;VENCENDO;SMART OFFICE REPRESENTACOES E SERVICOS;01/10/2025;01/10/2026;24060;PUFF REDONDO, COMPLEMENTO: TECIDO POLIESTER CORES VERDE VERMELHO AZUL MOSTRARDA DIAMETRO: 46CM ALTURA: 46CM;PUFF REDONDO, COMPLEMENTO: TECIDO POLIESTER CORES VERDE VERMELHO AZUL MOSTRARDA DIAMETRO: 46CM ALTURA: 46CM;660.013,11;24.709.181/0001-98
;570928;2025.0310;SESI-DR/ES;VENCENDO;SMART OFFICE REPRESENTACOES E SERVICOS;01/10/2025;01/10/2026;24272;PAINEL PERFURADO, COMPLEMENTO: PA 01;PAINEL PERFURADO, COMPLEMENTO: PA 01;660.013,11;24.709.181/0001-98
;577124;2025.0310;SESI-DR/ES;VENCENDO;SMART OFFICE REPRESENTACOES E SERVICOS;01/10/2025;01/10/2026;30474;QUADRO,TIPO:AVISO,MATERIAL:VIDRO CRISTAL TEMPERADO,COR:INCOLOR,TAMANHO:8MM,MEDIDA:1.00 X 1.50CM;QUADRO,TIPO:AVISO,MATERIAL:VIDRO CRISTAL TEMPERADO,COR:INCOLOR,TAMANHO:8MM,MEDIDA:100 X 150CM;660.013,11;24.709.181/0001-98
;576160;2025.0310;SESI-DR/ES;VENCENDO;SMART OFFICE REPRESENTACOES E SERVICOS;01/10/2025;01/10/2026;29509;QUADRO,TIPO:AVISO,MATERIAL:VIDRO CRISTAL TEMPERADO,COR:INCOLOR,TAMANHO:8MM,MEDIDA:120X180CM;QUADRO,TIPO:AVISO,MATERIAL:VIDRO CRISTAL TEMPERADO,COR:INCOLOR,TAMANHO:8MM,MEDIDA:120X180CM;660.013,11;24.709.181/0001-98
;570218;2025.0310;SESI-DR/ES;VENCENDO;SMART OFFICE REPRESENTACOES E SERVICOS;01/10/2025;01/10/2026;23559;GAVETEIRO MOVEL, COMPLEMENTO: 03 GAVETAS;GAVETEIRO MOVEL, COMPLEMENTO: 03 GAVETAS;660.013,11;24.709.181/0001-98
;572797;2025.0310;SESI-DR/ES;VENCENDO;SMART OFFICE REPRESENTACOES E SERVICOS;01/10/2025;01/10/2026;26139;ESTANTE METALICA COM 6 PRATELEIRAS.;"ESTANTE METALICA COM 6 PRATELEIRAS:
ESTRUTURA EM CHAPAS DE ACO CONFORMADAS DE 1,2 MM DE ESPESSURA.
CAPACIDADE DE CARGA MAXIMA DISTRIBUIDA: 400 KG.
CAPACIDADE DE CARGA DISTRIBUIDA DE CADA PRATELEIRA: 60 KG.
";660.013,11;24.709.181/0001-98
;570686;2025.0310;SESI-DR/ES;VENCENDO;SMART OFFICE REPRESENTACOES E SERVICOS;01/10/2025;01/10/2026;24028;ARMARIO BAIXO COM 02 PORTAS. DIMENSOES: LARG. 800 X PROF. 500 X ALT. 740MM. TAMPO EM REVESTIMENTO MDP 25MM, COM 1 PRATEL;ARMARIO BAIXO COM 02 PORTAS. DIMENSOES: LARGURA 800 X PROFUNDIDADE 500 X ALTURA 740MM. COR: COR A DEFINIR MEDIANTE APRESENTACAO DE CATALOGO. TAMPO EM REVESTIMENTO MDP, COM ESPESSURA MINIMA DE 25MM, POSSUI FITA;660.013,11;24.709.181/0001-98
;575568;2025.0310;SESI-DR/ES;VENCENDO;SMART OFFICE REPRESENTACOES E SERVICOS;01/10/2025;01/10/2026;28912;ARMARIO, TIPO:ARQUIVO, MATERIAL:ACO, ALTURA:1330MM, LARGURA:466MM, PROFUNDIDADE:710 MM, COR:CINZA;ARMARIO, TIPO:ARQUIVO, MATERIAL:ACO, ALTURA:1330MM, LARGURA:466MM, PROFUNDIDADE:710 MM, COR:CINZA;660.013,11;24.709.181/0001-98
;570686;2025.0310;SESI-DR/ES;VENCENDO;SMART OFFICE REPRESENTACOES E SERVICOS;01/10/2025;01/10/2026;24028;ARMARIO BAIXO COM 02 PORTAS. DIMENSOES: LARG. 800 X PROF. 500 X ALT. 740MM. TAMPO EM REVESTIMENTO MDP 25MM, COM 1 PRATEL;ARMARIO BAIXO COM 02 PORTAS. DIMENSOES: LARGURA 800 X PROFUNDIDADE 500 X ALTURA 740MM. COR: COR A DEFINIR MEDIANTE APRESENTACAO DE CATALOGO. TAMPO EM REVESTIMENTO MDP, COM ESPESSURA MINIMA DE 25MM, POSSUI FITA;660.013,11;24.709.181/0001-98
;567574;2025.0310;SESI-DR/ES;VENCENDO;SMART OFFICE REPRESENTACOES E SERVICOS;01/10/2025;01/10/2026;20627;ARMARIO ALTO C/ 2 PORTAS  800X472X1607;TAMPO: CONFECCIONADO EM FIBRA DE MADEIRA AGLOMERADA (MDP) COM 25 MM DE ESPESSURA, COM ACABAMENTO EM AMBAS AS FACES COM LAMINADO MELAMINICO DE BAIXA PRESSAO 0,3 MM (BP) ANTI-REFLEXO E RESISTENTE A ABRASAO E IMPA;660.013,11;24.709.181/0001-98
;571758;2025.0310;SESI-DR/ES;VENCENDO;SMART OFFICE REPRESENTACOES E SERVICOS;01/10/2025;01/10/2026;25105;MACA CLINICA MEDICA;MACA CLINICA MEDICA;660.013,11;24.709.181/0001-98
;574361;2025.0314;SESI-DR/ES;VIGENTE;COELHOMUSIC PRODUCOES LTDA;30/09/2025;30/12/2026;27647;ATIVIDADE, TIPO: PALESTRA;ATIVIDADE, TIPO: PALESTRA;200.000,00;52.060.306/0001-37
;572674;2025.0312;SESI-DR/ES;VENCENDO;JRE ENGENHARIA;29/09/2025;29/09/2026;26016;CREDENCIAMENTO: OBRA ENGENHARIA;CREDENCIAMENTO: OBRA ENGENHARIA;727.455,71;02.429.119/0001-00
;576830;2025.0303;SENAI-DR/ES;VENCENDO;INGRAL INDUSTRIA GRAFICA LTDA;29/09/2025;29/09/2026;30179;CONFECCAO,TIPO:FACA ESPECIAL;CONFECCAO,TIPO:FACA ESPECIAL;10.269.152,60;32.414.708/0001-85
;576527;2025.0303;SENAI-DR/ES;VENCENDO;INGRAL INDUSTRIA GRAFICA LTDA;29/09/2025;29/09/2026;29876;CONFECCAO, TIPO:TABULEIRO DE JOGO, TAMANHO:41,5CM X 26CM,PAPEL:COUCHE,GRAMATURA:200G, CORES:4X4;CONFECCAO, TIPO:TABULEIRO DE JOGO, TAMANHO:41,5CM X 26CM,PAPEL:COUCHE,GRAMATURA:200G, CORES:4X4;10.269.152,60;32.414.708/0001-85
;576829;2025.0303;SENAI-DR/ES;VENCENDO;INGRAL INDUSTRIA GRAFICA LTDA;29/09/2025;29/09/2026;30178;CONFECCAO,TIPO:PORTA RETRATO,TAMANHO:15X20CM,MATERIAL:PAPEL COUCHE;CONFECCAO,TIPO:PORTA RETRATO,TAMANHO:15X20CM,MATERIAL:PAPEL COUCHE;10.269.152,60;32.414.708/0001-85
;576828;2025.0303;SENAI-DR/ES;VENCENDO;INGRAL INDUSTRIA GRAFICA LTDA;29/09/2025;29/09/2026;30177;CONFECCAO,TIPO:PORTA RETRATO,TAMANHO:13X18CM,MATERIAL:PAPEL COUCHE;CONFECCAO,TIPO:PORTA RETRATO,TAMANHO:13X18CM,MATERIAL:PAPEL COUCHE;10.269.152,60;32.414.708/0001-85
;576827;2025.0303;SENAI-DR/ES;VENCENDO;INGRAL INDUSTRIA GRAFICA LTDA;29/09/2025;29/09/2026;30176;CONFECCAO,TIPO:PORTA RETRATO,TAMANHO:10X15CM,MATERIAL:PAPEL COUCHE;CONFECCAO,TIPO:PORTA RETRATO,TAMANHO:10X15CM,MATERIAL:PAPEL COUCHE;10.269.152,60;32.414.708/0001-85
;576842;2025.0303;SENAI-DR/ES;VENCENDO;INGRAL INDUSTRIA GRAFICA LTDA;29/09/2025;29/09/2026;30191;CONFECCAO,TIPO:PORTA COPO,TAMANHO:9X13CM, MATERIAL:PAPEL COUCHE,GRAMATURA:200G,COMPLEMENTO:BRILHO LOCALIZADO;CONFECCAO,TIPO:PORTA COPO,TAMANHO:9X13CM, MATERIAL:PAPEL COUCHE,GRAMATURA:200G,COMPLEMENTO:BRILHO LOCALIZADO;10.269.152,60;32.414.708/0001-85
;576824;2025.0303;SENAI-DR/ES;VENCENDO;INGRAL INDUSTRIA GRAFICA LTDA;29/09/2025;29/09/2026;30173;"CONFECCAO: PASTA COM BOLSO  45,5X32CM (ABERTA); 22X32CM  (FECHADA)";"CONFECCAO: PASTA COM BOLSO  45,5X32CM (ABERTA); 22X32CM  (FECHADA), PAPEL COUCHE (200G) (BRILHOSO, FOSCO OU BRILHO LOCALIZADO).  4X4.";10.269.152,60;32.414.708/0001-85
